vote_id,person_id,vote
h106-111.2010,B001230,Aye
h106-111.2010,B001231,Aye
h106-111.2010,D000210,Aye
h106-111.2010,D000600,Aye
h106-111.2010,E000063,Aye
h106-111.2010,F000445,Aye
h106-111.2010,G000546,Aye
h106-111.2010,H001036,Aye
h106-111.2010,H001037,Aye
h106-111.2010,J000289,Aye
h106-111.2010,K000370,Aye
h106-111.2010,K000372,Aye
h106-111.2010,R000582,Aye
h106-111.2010,R000583,Aye
h106-111.2010,S001165,Aye
h106-111.2010,S001175,Aye
h106-111.2010,T000038,Aye
h106-111.2010,W000413,Aye
h106-111.2010,W000792,Aye
h120-111.2010,R000582,Yea
h120-111.2010,B001230,Yea
h120-111.2010,B001231,Yea
h120-111.2010,D000210,Yea
h120-111.2010,D000600,Yea
h120-111.2010,E000063,Yea
h120-111.2010,F000445,Yea
h120-111.2010,R000583,Yea
h120-111.2010,S001165,Yea
h120-111.2010,S001175,Yea
h120-111.2010,T000038,Yea
h120-111.2010,W000413,Yea
h120-111.2010,W000792,Yea
h143-113.2013,B001274,Yea
h120-111.2010,G000546,Yea
h120-111.2010,H001036,Yea
h120-111.2010,H001037,Yea
h120-111.2010,J000289,Yea
h120-111.2010,K000370,Yea
h120-111.2010,K000372,Yea
h143-113.2013,B001275,Yea
h143-113.2013,D000600,Yea
h143-113.2013,F000445,Not Voting
h143-113.2013,G000546,Nay
h143-113.2013,G000560,Nay
h143-113.2013,G000562,Nay
h143-113.2013,H001036,Not Voting
h143-113.2013,J000289,Nay
h143-113.2013,M001181,Nay
h143-113.2013,O000170,Yea
h143-113.2013,P000608,Yea
h143-113.2013,R000582,Yea
h143-113.2013,R000583,Nay
h143-113.2013,S001165,Nay
h143-113.2013,S001175,Yea
h143-113.2013,W000413,Not Voting
h147-113.2013,B001274,Yea
h146-114.2016,H001036,Yea
h146-114.2016,J000289,Yea
h146-114.2016,M001181,Yea
h146-114.2016,N000188,Nay
h146-114.2016,O000170,Nay
h146-114.2016,P000608,Nay
h146-114.2016,R000582,Yea
h146-114.2016,R000583,Yea
h146-114.2016,S001165,Nay
h146-114.2016,S001175,Nay
h146-114.2016,S001196,Yea
h146-114.2016,W000413,Yea
h146-114.2016,W000821,Yea
h146-114.2016,Y000066,Yea
h146-114.2016,A000374,Yea
h147-113.2013,B001275,Yea
h147-113.2013,D000600,Yea
h147-113.2013,F000445,Yea
h147-113.2013,G000546,Yea
h147-113.2013,G000560,Yea
h147-113.2013,G000562,Yea
h147-113.2013,H001036,Yea
h147-113.2013,J000289,Yea
h147-113.2013,M001181,Yea
h147-113.2013,O000170,Yea
h147-113.2013,P000608,Yea
h147-113.2013,R000582,Yea
h147-113.2013,R000583,Yea
h147-113.2013,S001165,Yea
h147-113.2013,S001175,Yea
h147-113.2013,W000413,Yea
h157-113.2013,B001274,Aye
h146-114.2016,B001274,Yea
h146-114.2016,B001275,Yea
h146-114.2016,D000600,Yea
h146-114.2016,F000445,Yea
h146-114.2016,G000546,Yea
h146-114.2016,G000560,Yea
