vote_id,person_id,vote
h105-111.2009,B000716,Aye
h105-111.2009,B001229,Aye
h105-111.2009,C001065,Aye
h105-111.2009,D000168,No
h105-111.2009,F000372,No
h105-111.2009,H001030,Aye
h105-111.2009,H001034,Aye
h105-111.2009,H001047,No
h105-111.2009,L000571,No
h105-111.2009,M000933,Not Voting
h105-111.2009,M001154,Aye
h117-114.2016,K000385,Yea
h105-111.2009,P000586,No
h105-111.2009,S000250,No
h105-111.2009,S000275,No
h105-111.2009,S000672,Aye
h105-111.2009,S001174,Aye
h105-111.2009,T000467,No
h117-114.2016,F000372,Yea
h117-114.2016,H001034,Yea
h117-114.2016,H001047,Yea
h117-114.2016,H001064,Yea
h117-114.2016,S000250,Yea
h117-114.2016,T000467,Yea
h117-114.2016,L000571,Yea
h117-114.2016,L000584,Yea
h157-113.2014,F000372,Yea
h157-112.2012,F000372,Yea
h157-112.2012,H001034,Yea
h157-112.2012,H001047,Yea
h157-112.2012,L000571,Yea
h157-112.2012,M000933,Yea
h157-112.2012,M001154,Yea
h157-112.2012,S000250,Yea
h157-112.2012,S001174,Yea
h157-112.2012,T000467,Yea
h147-114.2016,F000372,Nay
h147-114.2016,H001034,Yea
h147-114.2016,H001047,Yea
h147-114.2016,H001064,Yea
h147-114.2016,K000385,Yea
h147-114.2016,L000571,Nay
h147-114.2016,L000584,Nay
h147-114.2016,S000250,Nay
h147-114.2016,T000467,Nay
h157-113.2014,S000250,Yea
h157-113.2014,T000467,Yea
h157-113.2014,H001034,Nay
h157-113.2014,H001047,Nay
h157-113.2014,H001064,Nay
h176-114.2015,F000372,Yea
h157-113.2014,K000385,Nay
h157-113.2014,L000571,Yea
h157-113.2014,M000933,Nay
h157-113.2014,N000187,Nay
h179-112.2011,F000372,Aye
h176-114.2015,S000250,Yea
h176-114.2015,T000467,Yea
h179-112.2011,S000250,Aye
h179-112.2011,S001174,No
h179-112.2011,T000467,Aye
h176-114.2015,H001034,Nay
h176-114.2015,H001047,Nay
h176-114.2015,H001064,Nay
h176-114.2015,K000385,Nay
h176-114.2015,L000571,Yea
h176-114.2015,L000584,Yea
h181-114.2015,S000250,Aye
h179-112.2011,H001034,No
h179-112.2011,H001047,Aye
