vote_id,person_id,vote
h142-114.2015,B001291,Yea
h142-114.2015,D000616,Yea
h142-114.2015,F000462,Nay
h142-114.2015,G000559,Nay
h142-114.2015,L000563,Nay
h142-114.2015,S001189,Yea
h142-114.2015,T000465,Nay
h142-114.2015,W000797,Nay
h142-114.2015,W000806,Yea
h147-113.2014,C001087,Aye
h147-113.2014,C001096,Aye
h147-113.2014,D000616,Aye
h147-113.2014,F000462,No
h147-113.2014,G000559,No
h147-113.2014,L000563,No
h147-113.2014,S001189,Aye
h147-113.2014,T000465,No
h147-113.2014,W000797,No
h147-113.2014,W000806,Aye
h142-114.2015,C001087,Nay
h142-114.2015,C001096,Yea
h219-113.2014,C001087,Yea
h175-114.2015,B001291,Nay
h175-114.2015,C001087,Yea
h175-114.2015,C001096,Yea
h175-114.2015,D000616,Yea
h175-114.2015,F000462,Yea
h175-114.2015,G000559,Yea
h175-114.2015,L000563,Yea
h175-114.2015,S001189,Yea
h175-114.2015,T000465,Yea
h175-114.2015,W000797,Yea
h175-114.2015,W000806,Yea
h203-114.2015,B001291,No
h203-114.2015,C001087,No
h203-114.2015,C001096,No
h203-114.2015,D000616,No
h203-114.2015,F000462,Aye
h203-114.2015,G000559,Aye
h203-114.2015,L000563,Aye
h203-114.2015,S001189,No
h203-114.2015,T000465,Aye
h203-114.2015,W000797,Not Voting
h203-114.2015,W000806,No
h218-111.2010,B000652,Yea
h218-111.2010,C000794,Yea
h218-111.2010,D000608,Yea
h218-111.2010,G000559,Yea
h218-111.2010,L000563,Yea
h218-111.2010,T000326,Yea
h218-111.2010,T000465,Yea
h218-111.2010,W000797,Yea
h219-113.2014,C001096,Yea
h219-113.2014,D000616,Yea
h219-113.2014,F000462,Yea
h219-113.2014,G000559,Yea
h219-113.2014,L000563,Yea
h219-113.2014,S001189,Yea
h219-113.2014,T000465,Yea
h219-113.2014,W000797,Yea
h219-113.2014,W000806,Yea
h222-112.2011,B000652,No
h222-112.2011,C000794,No
h222-112.2011,C001087,Aye
h222-112.2011,D000616,Aye
h222-112.2011,G000559,No
h222-112.2011,L000563,No
h222-112.2011,S001189,Aye
h222-112.2011,T000326,No
h222-112.2011,T000465,No
h222-112.2011,W000797,No
h222-112.2011,W000806,Aye
h228-113.2014,C001087,Yea
h228-113.2014,C001096,Yea
h228-113.2014,D000616,Yea
h228-113.2014,F000462,Nay
h228-113.2014,G000559,Nay
h228-113.2014,L000563,Nay
h245-112.2011,B000652,Nay
h245-112.2011,C000794,Nay
h245-112.2011,C001087,Yea
h245-112.2011,D000616,Yea
h245-112.2011,G000559,Nay
h245-112.2011,L000563,Nay
h245-112.2011,S001189,Yea
h245-112.2011,T000326,Nay
h245-112.2011,T000465,Nay
h245-112.2011,W000797,Nay
h245-112.2011,W000806,Yea
h246-113.2013,C001087,Yea
h246-113.2013,C001096,Yea
h246-113.2013,D000616,Yea
h246-113.2013,F000462,Yea
h246-113.2013,G000559,Yea
h246-113.2013,L000563,Yea
h246-113.2013,S001189,Not Voting
h246-113.2013,T000465,Yea
h246-113.2013,W000797,Yea
h246-113.2013,W000806,Yea
h228-113.2014,S001189,Yea
h228-113.2014,T000465,Nay
h228-113.2014,W000797,Nay
h228-113.2014,W000806,Yea
h232-113.2014,C001087,Aye
h232-113.2014,C001096,Aye
h232-113.2014,D000616,Aye
h232-113.2014,F000462,No
h232-113.2014,G000559,No
h232-113.2014,L000563,Aye
h232-113.2014,S001189,Aye
h232-113.2014,T000465,No
h232-113.2014,W000797,No
h232-113.2014,W000806,Aye
h339-112.2012,B000652,No
h266-113.2013,C001087,No
h266-113.2013,C001096,No
h266-113.2013,D000616,No
h266-113.2013,F000462,No
h266-113.2013,G000559,No
h266-113.2013,L000563,No
h266-113.2013,S001189,No
h266-113.2013,T000465,No
h266-113.2013,W000797,No
h266-113.2013,W000806,No
h275-111.2010,B000652,Yea
h275-111.2010,C000794,Yea
h275-111.2010,D000608,Yea
h275-111.2010,G000559,Yea
h275-111.2010,L000563,Yea
h275-111.2010,T000326,Not Voting
h275-111.2010,T000465,Yea
h275-111.2010,W000797,Yea
h301-111.2009,B000652,Yea
h301-111.2009,C000794,Yea
h301-111.2009,D000608,Yea
h301-111.2009,L000563,Yea
h301-111.2009,T000326,Yea
h301-111.2009,T000465,Yea
h301-111.2009,W000797,Yea
h323-114.2015,B001291,Aye
h323-114.2015,C001087,Aye
h323-114.2015,C001096,Aye
h323-114.2015,D000616,Aye
h323-114.2015,F000462,No
h323-114.2015,G000559,No
h323-114.2015,L000563,No
h323-114.2015,S001189,Aye
h323-114.2015,T000465,No
h323-114.2015,W000797,No
h323-114.2015,W000806,Aye
h339-112.2012,C000794,Aye
h339-112.2012,C001087,No
h339-112.2012,D000616,No
h339-112.2012,G000559,No
h339-112.2012,L000563,No
h339-112.2012,S001189,No
h339-112.2012,T000326,Not Voting
h339-112.2012,T000465,No
h339-112.2012,W000797,No
h339-112.2012,W000806,Aye
h367-114.2016,B001291,No
h361-111.2010,B000652,Yea
h361-111.2010,C000794,Yea
h361-111.2010,D000608,Yea
h361-111.2010,G000559,Yea
h361-111.2010,L000563,Yea
h361-111.2010,T000326,Yea
h361-111.2010,T000465,Yea
h361-111.2010,W000797,Yea
h367-114.2016,C001087,No
h367-114.2016,C001096,No
h367-114.2016,D000616,No
h367-114.2016,F000462,Aye
h367-114.2016,G000559,Aye
h367-114.2016,L000563,Aye
h367-114.2016,S001189,No
h367-114.2016,T000465,No
h367-114.2016,W000797,Aye
h367-114.2016,W000806,No
h422-111.2009,B000652,Yea
h382-113.2013,C001087,No
h382-113.2013,C001096,No
h382-113.2013,D000616,No
h382-113.2013,F000462,No
h382-113.2013,G000559,No
h382-113.2013,L000563,No
h382-113.2013,S001189,No
h382-113.2013,T000465,Not Voting
h382-113.2013,W000797,No
h382-113.2013,W000806,No
h407-113.2013,C001087,No
h407-113.2013,C001096,Aye
h407-113.2013,D000616,No
h407-113.2013,F000462,Aye
h407-113.2013,G000559,Aye
h407-113.2013,L000563,Aye
h407-113.2013,S001189,Aye
h407-113.2013,T000465,Aye
h407-113.2013,W000797,Aye
h407-113.2013,W000806,No
h422-111.2009,C000794,Yea
h422-111.2009,D000608,Yea
h422-111.2009,L000563,Yea
h422-111.2009,T000326,Yea
h422-111.2009,T000465,Yea
h422-111.2009,W000797,Yea
h452-114.2016,B001291,Aye
h436-113.2014,C001087,Nay
h436-113.2014,C001096,Nay
h436-113.2014,D000616,Not Voting
h436-113.2014,F000462,Yea
h436-113.2014,G000559,Yea
h436-113.2014,L000563,Yea
h436-113.2014,S001189,Nay
h436-113.2014,T000465,Not Voting
h436-113.2014,W000797,Not Voting
h436-113.2014,W000806,Nay
h452-114.2016,C001087,Aye
h452-114.2016,C001096,Aye
h452-114.2016,D000616,Aye
h452-114.2016,F000462,No
h452-114.2016,G000559,No
h452-114.2016,L000563,No
h452-114.2016,S001189,Aye
h452-114.2016,T000465,No
h452-114.2016,W000797,No
h452-114.2016,W000806,Aye
h453-111.2010,B000652,Yea
h453-111.2010,C000794,Yea
h453-111.2010,D000608,Yea
h453-111.2010,G000559,Yea
h453-111.2010,L000563,Yea
h453-111.2010,T000326,Yea
h453-111.2010,T000465,Yea
h453-111.2010,W000797,Yea
h456-111.2009,B000652,No
h456-111.2009,C000794,No
h456-111.2009,D000608,No
h456-111.2009,L000563,No
h456-111.2009,T000326,No
h456-111.2009,T000465,No
h456-111.2009,W000797,No
h506-112.2012,B000652,Aye
h489-114.2015,B001291,Yea
h489-114.2015,C001087,Yea
h489-114.2015,C001096,Yea
h489-114.2015,D000616,Yea
h489-114.2015,F000462,Nay
h489-114.2015,G000559,Nay
h489-114.2015,L000563,Nay
h489-114.2015,S001189,Yea
h489-114.2015,T000465,Nay
h489-114.2015,W000797,Nay
h489-114.2015,W000806,Yea
h500-111.2009,B000652,Aye
h500-111.2009,C000794,Aye
h500-111.2009,D000608,Aye
h500-111.2009,L000563,Aye
h500-111.2009,T000326,Aye
h500-111.2009,T000465,Aye
h500-111.2009,W000797,Aye
