pid,first_name,last_name,party,state
A000014,Neil,Abercrombie,Democrat,HI
A000022,Gary,Ackerman,Democrat,NY
A000055,Robert,Aderholt,Republican,AL
A000069,Daniel,Akaka,Democrat,HI
A000210,Robert,Andrews,Democrat,NJ
A000358,W.,Akin,Republican,MO
A000360,Lamar,Alexander,Republican,TN
A000361,Rodney,Alexander,Republican,LA
A000362,Jason,Altmire,Democrat,PA
A000363,Michael,Arcuri,Democrat,NY
A000364,John,Adler,Democrat,NJ
A000365,Steve,Austria,Republican,OH
A000366,Sandy,Adams,Republican,FL
A000367,Justin,Amash,Republican,MI
A000368,Kelly,Ayotte,Republican,NH
A000369,Mark,Amodei,Republican,NV
A000370,Alma,Adams,Democrat,NC
A000371,Pete,Aguilar,Democrat,CA
A000372,Rick,Allen,Republican,GA
A000373,Brad,Ashford,Democrat,NE
A000374,Ralph,Abraham,Republican,LA
B000013,Spencer,Bachus,Republican,AL
B000208,Roscoe,Bartlett,Republican,MD
B000213,Joe,Barton,Republican,TX
B000220,Charles,Bass,Republican,NH
B000243,Max,Baucus,Democrat,MT
B000287,Xavier,Becerra,Democrat,CA
B000382,Robert,Bennett,Republican,UT
B000410,Howard,Berman,Democrat,CA
B000420,Robert,Berry,Democrat,AR
B000444,Joseph,Biden,Democrat,DE
B000461,Brian,Bilbray,Republican,CA
B000468,Jeff,Bingaman,Democrat,NM
B000490,Sanford,Bishop,Democrat,GA
B000574,Earl,Blumenauer,Democrat,OR
B000575,Roy,Blunt,Republican,MO
B000589,John,Boehner,Republican,OH
B000611,Christopher,Bond,Republican,MO
B000652,Leonard,Boswell,Democrat,IA
B000657,Frederick,Boucher,Democrat,VA
B000711,Barbara,Boxer,Democrat,CA
B000716,Allen,Boyd,Democrat,FL
B000755,Kevin,Brady,Republican,TX
B000911,Corrine,Brown,Democrat,FL
B000944,Sherrod,Brown,Democrat,OH
B000953,Samuel,Brownback,Republican,KS
B001066,Jim,Bunning,Republican,KY
B001135,Richard,Burr,Republican,NC
B001149,Dan,Burton,Republican,IN
B001203,Stephen,Buyer,Republican,IN
