pid,first_name,last_name,party,state
A000374,Ralph,Abraham,Republican,LA
B001230,Tammy,Baldwin,Democrat,WI
B001231,Shelley,Berkley,Democrat,NV
B001261,John,Barrasso,Republican,WY
B001274,Mo,Brooks,Republican,AL
B001275,Larry,Bucshon,Republican,IN
D000210,William,Delahunt,Democrat,MA
D000600,Mario,Diaz-Balart,Republican,FL
E000063,Thomas,Edwards,Democrat,TX
F000445,J.,Forbes,Republican,VA
G000546,Sam,Graves,Republican,MO
G000560,Tom,Graves,Republican,GA
G000562,Cory,Gardner,Republican,CO
H001036,Jeb,Hensarling,Republican,TX
H001037,Stephanie,Herseth Sandlin,Democrat,SD
J000289,Jim,Jordan,Republican,OH
K000370,Suzanne,Kosmas,Democrat,FL
K000372,Mary Jo,Kilroy,Democrat,OH
L000574,Jeff,Landry,Republican,LA
M000303,John,McCain,Republican,AZ
M001111,Patty,Murray,Democrat,WA
M001181,Patrick,Meehan,Republican,PA
N000188,Donald,Norcross,Democrat,NJ
O000170,Beto,"O'Rourke",Democrat,TX
P000608,Scott,Peters,Democrat,CA
R000122,John,Reed,Democrat,RI
R000582,David,Roe,Republican,TN
R000583,Thomas,Rooney,Republican,FL
S001165,Albio,Sires,Democrat,NJ
S001175,Jackie,Speier,Democrat,CA
S001196,Elise,Stefanik,Republican,NY
T000038,John,Tanner,Democrat,TN
T000057,Ellen,Tauscher,Democrat,CA
W000413,Ed,Whitfield,Republican,KY
W000792,Anthony,Weiner,Democrat,NY
W000821,Bruce,Westerman,Republican,AR
Y000066,David,Young,Republican,IA
