pid,first_name,last_name,party,state
B000716,Allen,Boyd,Democrat,FL
B001229,Brian,Baird,Democrat,WA
B001233,Evan,Bayh,Democrat,IN
B001245,Madeleine,Bordallo,Democrat,GU
C001065,Christopher,Carney,Democrat,PA
C001088,Chris,Coons,Democrat,DE
C001100,Jeffrey,Chiesa,Republican,NJ
D000168,Nathan,Deal,Democrat,GA
F000372,Rodney,Frelinghuysen,Republican,NJ
H001030,Baron,Hill,Democrat,IN
H001034,Michael,Honda,Democrat,CA
H001047,James,Himes,Democrat,CT
H001061,John,Hoeven,Republican,ND
H001064,Denny,Heck,Democrat,WA
K000385,Robin,Kelly,Democrat,IL
L000571,Cynthia,Lummis,Republican,WY
L000584,Mia,Love,Republican,UT
M000933,James,Moran,Democrat,VA
M001154,R.,Miller,Democrat,NC
N000187,Gloria,Negrete McLeod,Democrat,CA
P000586,Adam,Putnam,Republican,FL
S000250,Pete,Sessions,Republican,TX
S000275,John,Shadegg,Republican,AZ
S000672,Victor,Snyder,Democrat,AR
S001174,Betty,Sutton,Democrat,OH
T000467,Glenn,Thompson,Republican,PA
W000803,Jim,Webb,Democrat,VA
