pid,first_name,last_name,party,state
B000652,Leonard,Boswell,Democrat,IA
B001291,Brian,Babin,Republican,TX
C000794,Jerry,Costello,Democrat,IL
C001087,Eric,Crawford,Republican,AR
C001096,Kevin,Cramer,Republican,ND
D000608,Kathleen,Dahlkemper,Democrat,PA
D000616,Scott,DesJarlais,Republican,TN
F000462,Lois,Frankel,Democrat,FL
G000559,John,Garamendi,Democrat,CA
L000563,Daniel,Lipinski,Democrat,IL
S001189,Austin,Scott,Republican,GA
T000326,Edolphus,Towns,Democrat,NY
T000465,Niki,Tsongas,Democrat,MA
W000797,Debbie,Wasserman Schultz,Democrat,FL
W000806,Daniel,Webster,Republican,FL
