vid,date
h4-111.2009,2009-01-06
h1-111.2009,2009-01-06
h3-111.2009,2009-01-06
h2-111.2009,2009-01-06
h5-111.2009,2009-01-07
h6-111.2009,2009-01-07
h8-111.2009,2009-01-09
h9-111.2009,2009-01-09
h10-111.2009,2009-01-09
h7-111.2009,2009-01-09
s1-111.2009,2009-01-11
h11-111.2009,2009-01-13
h12-111.2009,2009-01-13
h13-111.2009,2009-01-13
h14-111.2009,2009-01-14
s2-111.2009,2009-01-14
h16-111.2009,2009-01-14
h17-111.2009,2009-01-14
h18-111.2009,2009-01-14
h15-111.2009,2009-01-14
h22-111.2009,2009-01-15
h19-111.2009,2009-01-15
s3-111.2009,2009-01-15
h20-111.2009,2009-01-15
s4-111.2009,2009-01-15
h21-111.2009,2009-01-15
s5-111.2009,2009-01-15
h25-111.2009,2009-01-21
h23-111.2009,2009-01-21
s6-111.2009,2009-01-21
h26-111.2009,2009-01-21
h24-111.2009,2009-01-21
s8-111.2009,2009-01-22
s13-111.2009,2009-01-22
h27-111.2009,2009-01-22
s12-111.2009,2009-01-22
h28-111.2009,2009-01-22
h29-111.2009,2009-01-22
s14-111.2009,2009-01-22
s7-111.2009,2009-01-22
s10-111.2009,2009-01-22
s11-111.2009,2009-01-22
s9-111.2009,2009-01-22
s15-111.2009,2009-01-26
h31-111.2009,2009-01-26
h30-111.2009,2009-01-26
h38-111.2009,2009-01-27
s16-111.2009,2009-01-27
h34-111.2009,2009-01-27
s17-111.2009,2009-01-27
h35-111.2009,2009-01-27
h32-111.2009,2009-01-27
h33-111.2009,2009-01-27
h37-111.2009,2009-01-27
h36-111.2009,2009-01-27
h39-111.2009,2009-01-28
s23-111.2009,2009-01-28
s19-111.2009,2009-01-28
s22-111.2009,2009-01-28
s20-111.2009,2009-01-28
s21-111.2009,2009-01-28
h41-111.2009,2009-01-28
h42-111.2009,2009-01-28
s18-111.2009,2009-01-28
h45-111.2009,2009-01-28
h43-111.2009,2009-01-28
h40-111.2009,2009-01-28
h44-111.2009,2009-01-28
h46-111.2009,2009-01-28
s25-111.2009,2009-01-29
s28-111.2009,2009-01-29
s26-111.2009,2009-01-29
s24-111.2009,2009-01-29
s31-111.2009,2009-01-29
s27-111.2009,2009-01-29
s29-111.2009,2009-01-29
s30-111.2009,2009-01-29
s32-111.2009,2009-02-02
h48-111.2009,2009-02-03
h49-111.2009,2009-02-03
h47-111.2009,2009-02-03
s34-111.2009,2009-02-03
s35-111.2009,2009-02-03
s33-111.2009,2009-02-03
s36-111.2009,2009-02-03
h52-111.2009,2009-02-04
s40-111.2009,2009-02-04
h53-111.2009,2009-02-04
s39-111.2009,2009-02-04
s44-111.2009,2009-02-04
s43-111.2009,2009-02-04
s38-111.2009,2009-02-04
s37-111.2009,2009-02-04
s41-111.2009,2009-02-04
h50-111.2009,2009-02-04
h51-111.2009,2009-02-04
s42-111.2009,2009-02-04
s48-111.2009,2009-02-05
s47-111.2009,2009-02-05
s49-111.2009,2009-02-05
s50-111.2009,2009-02-05
s46-111.2009,2009-02-05
s45-111.2009,2009-02-05
s56-111.2009,2009-02-06
s57-111.2009,2009-02-06
s54-111.2009,2009-02-06
s55-111.2009,2009-02-06
s51-111.2009,2009-02-06
s52-111.2009,2009-02-06
s58-111.2009,2009-02-06
s53-111.2009,2009-02-06
s59-111.2009,2009-02-09
h55-111.2009,2009-02-10
s60-111.2009,2009-02-10
s61-111.2009,2009-02-10
h54-111.2009,2009-02-10
h56-111.2009,2009-02-10
h58-111.2009,2009-02-10
h57-111.2009,2009-02-10
h59-111.2009,2009-02-10
h61-111.2009,2009-02-11
h62-111.2009,2009-02-11
s62-111.2009,2009-02-11
h60-111.2009,2009-02-11
h64-111.2009,2009-02-12
h65-111.2009,2009-02-12
h63-111.2009,2009-02-12
h66-111.2009,2009-02-13
h70-111.2009,2009-02-13
h71-111.2009,2009-02-13
s64-111.2009,2009-02-13
h68-111.2009,2009-02-13
s63-111.2009,2009-02-13
h69-111.2009,2009-02-13
h67-111.2009,2009-02-13
h73-111.2009,2009-02-23
h74-111.2009,2009-02-23
h72-111.2009,2009-02-23
h79-111.2009,2009-02-24
h76-111.2009,2009-02-24
s65-111.2009,2009-02-24
s66-111.2009,2009-02-24
h77-111.2009,2009-02-24
h75-111.2009,2009-02-24
h78-111.2009,2009-02-24
h82-111.2009,2009-02-25
h87-111.2009,2009-02-25
h81-111.2009,2009-02-25
h84-111.2009,2009-02-25
h85-111.2009,2009-02-25
s67-111.2009,2009-02-25
h83-111.2009,2009-02-25
h80-111.2009,2009-02-25
h86-111.2009,2009-02-25
s68-111.2009,2009-02-25
h88-111.2009,2009-02-26
s69-111.2009,2009-02-26
h89-111.2009,2009-02-26
h90-111.2009,2009-02-26
s73-111.2009,2009-02-26
s71-111.2009,2009-02-26
s70-111.2009,2009-02-26
s72-111.2009,2009-02-26
h91-111.2009,2009-03-03
s76-111.2009,2009-03-03
s74-111.2009,2009-03-03
s75-111.2009,2009-03-03
h93-111.2009,2009-03-03
h92-111.2009,2009-03-03
h96-111.2009,2009-03-04
h94-111.2009,2009-03-04
s80-111.2009,2009-03-04
s79-111.2009,2009-03-04
s78-111.2009,2009-03-04
s77-111.2009,2009-03-04
h95-111.2009,2009-03-04
h106-111.2009,2009-03-05
h104-111.2009,2009-03-05
h97-111.2009,2009-03-05
h101-111.2009,2009-03-05
h99-111.2009,2009-03-05
h103-111.2009,2009-03-05
h100-111.2009,2009-03-05
s85-111.2009,2009-03-05
h105-111.2009,2009-03-05
s84-111.2009,2009-03-05
s83-111.2009,2009-03-05
s82-111.2009,2009-03-05
h98-111.2009,2009-03-05
h102-111.2009,2009-03-05
