vid,date
h67-111.2009,2009-02-13
s79-111.2009,2009-03-04
h99-111.2009,2009-03-05
s85-111.2009,2009-03-05
s92-111.2009,2009-03-10
s105-111.2009,2009-03-19
h161-111.2009,2009-03-26
h169-111.2009,2009-03-31
s142-111.2009,2009-04-02
h198-111.2009,2009-04-22
h305-111.2009,2009-06-04
h318-111.2009,2009-06-10
h343-111.2009,2009-06-16
h424-111.2009,2009-06-24
h473-111.2009,2009-06-26
h524-111.2009,2009-07-09
s233-111.2009,2009-07-16
h692-111.2009,2009-09-09
s324-111.2009,2009-10-21
h907-111.2009,2009-11-19
h960-111.2009,2009-12-11
h30-111.2010,2010-02-03
s48-111.2010,2010-03-10
h106-111.2010,2010-03-11
h120-111.2010,2010-03-17
s59-111.2010,2010-03-18
h229-111.2010,2010-04-28
h234-111.2010,2010-04-29
h250-111.2010,2010-05-06
h258-111.2010,2010-05-11
h264-111.2010,2010-05-12
h302-111.2010,2010-05-26
h333-111.2010,2010-05-28
h374-111.2010,2010-06-17
h483-111.2010,2010-07-29
h506-111.2010,2010-07-30
h547-111.2010,2010-09-29
h625-111.2010,2010-12-08
s274-111.2010,2010-12-15
h644-111.2010,2010-12-16
h650-111.2010,2010-12-17
h64-112.2011,2011-02-16
h63-112.2011,2011-02-16
s24-112.2011,2011-02-17
s45-112.2011,2011-03-17
h200-112.2011,2011-03-30
h225-112.2011,2011-04-04
s54-112.2011,2011-04-06
h260-112.2011,2011-04-13
h357-112.2011,2011-05-26
h377-112.2011,2011-05-31
h387-112.2011,2011-06-01
h381-112.2011,2011-06-01
h412-112.2011,2011-06-03
h436-112.2011,2011-06-15
h443-112.2011,2011-06-16
h517-112.2011,2011-07-07
h592-112.2011,2011-07-15
h584-112.2011,2011-07-15
h658-112.2011,2011-07-27
h666-112.2011,2011-07-28
s126-112.2011,2011-09-08
h778-112.2011,2011-10-11
h856-112.2011,2011-11-17
h921-112.2011,2011-12-13
s229-112.2011,2011-12-14
h68-112.2012,2012-02-16
h78-112.2012,2012-02-28
h90-112.2012,2012-02-29
h233-112.2012,2012-05-09
h245-112.2012,2012-05-10
s93-112.2012,2012-05-15
h263-112.2012,2012-05-17
h272-112.2012,2012-05-18
h270-112.2012,2012-05-18
h312-112.2012,2012-06-01
h345-112.2012,2012-06-06
h330-112.2012,2012-06-06
h364-112.2012,2012-06-07
s134-112.2012,2012-06-19
h383-112.2012,2012-06-19
s136-112.2012,2012-06-19
h384-112.2012,2012-06-19
s156-112.2012,2012-06-20
h499-112.2012,2012-07-23
s233-112.2012,2012-12-27
h658-112.2012,2013-01-01
s1-113.2013,2013-01-24
h41-113.2013,2013-02-14
h80-113.2013,2013-03-19
s102-113.2013,2013-04-17
h143-113.2013,2013-05-09
h147-113.2013,2013-05-15
h157-113.2013,2013-05-17
h179-113.2013,2013-05-22
h195-113.2013,2013-06-05
h200-113.2013,2013-06-05
h255-113.2013,2013-06-19
h347-113.2013,2013-07-11
h353-113.2013,2013-07-11
h358-113.2013,2013-07-17
h470-113.2013,2013-09-18
h528-113.2013,2013-10-07
s276-113.2013,2013-12-16
h31-113.2014,2014-01-29
h60-113.2014,2014-02-11
s40-113.2014,2014-02-25
h69-113.2014,2014-02-26
s158-113.2014,2014-05-20
h227-113.2014,2014-05-21
h264-113.2014,2014-05-30
s167-113.2014,2014-06-03
h427-113.2014,2014-07-16
h457-113.2014,2014-07-28
s252-113.2014,2014-07-31
s280-113.2014,2014-11-18
s287-113.2014,2014-11-19
s305-113.2014,2014-12-03
h542-113.2014,2014-12-03
s350-113.2014,2014-12-13
h12-114.2015,2015-01-08
h29-114.2015,2015-01-14
h47-114.2015,2015-01-27
s39-114.2015,2015-01-28
s68-114.2015,2015-03-04
s93-114.2015,2015-03-26
s107-114.2015,2015-03-26
h173-114.2015,2015-04-23
s167-114.2015,2015-04-28
h199-114.2015,2015-04-30
h188-114.2015,2015-04-30
h215-114.2015,2015-05-01
h218-114.2015,2015-05-12
h217-114.2015,2015-05-12
h222-114.2015,2015-05-13
h235-114.2015,2015-05-15
h270-114.2015,2015-06-02
h295-114.2015,2015-06-03
h349-114.2015,2015-06-11
h386-114.2015,2015-06-25
s228-114.2015,2015-07-09
h505-114.2015,2015-09-18
h615-114.2015,2015-11-04
h618-114.2015,2015-11-05
h620-114.2015,2015-11-05
s302-114.2015,2015-11-10
h82-114.2016,2016-02-12
h99-114.2016,2016-02-26
s44-114.2016,2016-04-11
h146-114.2016,2016-04-14
s50-114.2016,2016-04-19
h177-114.2016,2016-04-28
h175-114.2016,2016-04-28
h224-114.2016,2016-05-19
h273-114.2016,2016-06-08
s102-114.2016,2016-06-16
s120-114.2016,2016-07-06
