vid,date
h15-111.2009,2009-01-14
s20-111.2009,2009-01-28
s59-111.2009,2009-02-09
s60-111.2009,2009-02-10
s74-111.2009,2009-03-03
h105-111.2009,2009-03-05
s151-111.2009,2009-04-02
h251-111.2009,2009-05-13
h250-111.2009,2009-05-13
h307-111.2009,2009-06-04
h447-111.2009,2009-06-24
h464-111.2009,2009-06-26
h486-111.2009,2009-07-08
s230-111.2009,2009-07-13
h580-111.2009,2009-07-17
h664-111.2009,2009-07-30
h716-111.2009,2009-09-17
h809-111.2009,2009-10-22
h918-111.2009,2009-12-02
s375-111.2009,2009-12-15
s385-111.2009,2009-12-21
h33-111.2010,2010-02-03
h76-111.2010,2010-03-02
s85-111.2010,2010-03-24
s103-111.2010,2010-03-25
s136-111.2010,2010-05-06
s162-111.2010,2010-05-20
h298-111.2010,2010-05-25
h296-111.2010,2010-05-25
h331-111.2010,2010-05-28
h369-111.2010,2010-06-17
h403-111.2010,2010-06-30
h455-111.2010,2010-07-21
s241-111.2010,2010-09-27
h556-111.2010,2010-09-29
h607-111.2010,2010-12-02
s269-111.2010,2010-12-09
s275-111.2010,2010-12-15
h20-112.2011,2011-01-25
h179-112.2011,2011-03-15
h214-112.2011,2011-04-01
h283-112.2011,2011-05-03
h300-112.2011,2011-05-10
h345-112.2011,2011-05-25
h366-112.2011,2011-05-26
h381-112.2011,2011-06-01
h395-112.2011,2011-06-02
h497-112.2011,2011-07-06
h565-112.2011,2011-07-13
h593-112.2011,2011-07-15
h637-112.2011,2011-07-26
s151-112.2011,2011-09-23
h777-112.2011,2011-10-11
s168-112.2011,2011-10-18
h813-112.2011,2011-10-27
h852-112.2011,2011-11-16
h875-112.2011,2011-12-01
h72-112.2012,2012-02-17
h82-112.2012,2012-02-29
s52-112.2012,2012-03-20
h157-112.2012,2012-04-17
h369-112.2012,2012-06-07
h394-112.2012,2012-06-21
h426-112.2012,2012-06-27
h433-112.2012,2012-06-27
s170-112.2012,2012-06-29
h469-112.2012,2012-07-17
h532-112.2012,2012-07-26
h546-112.2012,2012-08-01
h583-112.2012,2012-09-14
h589-112.2012,2012-09-20
s227-112.2012,2012-12-13
s27-113.2013,2013-02-28
s26-113.2013,2013-02-28
h73-113.2013,2013-03-15
h235-113.2013,2013-06-14
s170-113.2013,2013-07-09
h348-113.2013,2013-07-11
s191-113.2013,2013-07-30
h452-113.2013,2013-09-10
h494-113.2013,2013-09-28
h509-113.2013,2013-10-02
h520-113.2013,2013-10-04
h521-113.2013,2013-10-04
h586-113.2013,2013-11-15
h612-113.2013,2013-12-02
h616-113.2013,2013-12-03
s263-113.2013,2013-12-12
h50-113.2014,2014-02-05
h58-113.2014,2014-02-11
s91-113.2014,2014-03-31
h157-113.2014,2014-04-04
h189-113.2014,2014-05-01
h196-113.2014,2014-05-06
h208-113.2014,2014-05-08
s163-113.2014,2014-05-22
h333-113.2014,2014-06-20
h345-113.2014,2014-06-24
h405-113.2014,2014-07-14
h426-113.2014,2014-07-16
h487-113.2014,2014-09-09
s316-113.2014,2014-12-08
h26-114.2015,2015-01-13
s57-114.2015,2015-02-23
h176-114.2015,2015-04-29
h207-114.2015,2015-04-30
h181-114.2015,2015-04-30
h243-114.2015,2015-05-19
h314-114.2015,2015-06-09
s208-114.2015,2015-06-15
h369-114.2015,2015-06-16
h407-114.2015,2015-07-08
s239-114.2015,2015-07-15
s257-114.2015,2015-07-27
h559-114.2015,2015-10-21
h572-114.2015,2015-10-27
h610-114.2015,2015-11-04
h627-114.2015,2015-11-16
h672-114.2015,2015-12-03
h699-114.2015,2015-12-16
h43-114.2016,2016-01-12
h53-114.2016,2016-02-02
h92-114.2016,2016-02-26
h117-114.2016,2016-03-15
h147-114.2016,2016-04-14
h182-114.2016,2016-05-11
h204-114.2016,2016-05-18
h350-114.2016,2016-07-05
h387-114.2016,2016-07-07
h411-114.2016,2016-07-12
h466-114.2016,2016-07-14
h472-114.2016,2016-07-14
